voie,way,spécialement Un des grands chemins des anciens Romains dont il reste encore des vestiges .
voie,way,Espace qui sépare les deux roues d ’ un même essieu d ’ un véhicule .
personne,someone,’ un
personne,someone,Nul individu
aussi,too,"Marque la conformité , le rapport logique d ’ une proposition avec celle qui précède ."
ailleurs,elsewhere,En un autre lieu .
ailleurs,elsewhere,Dans un autre passage d un document .
ailleurs,elsewhere,Endroit se trouvant autre part .
ailleurs,elsewhere,En un autre lieu . ( Sens général ) .
vif,key,"Point le plus intéressant , le plus important , celui d ’ où dépend la solution ."
sinon,otherwise,Faute de quoi
sinon,otherwise,Si ce n ’ est
selon,by,D ’ après ; eu égard à ; conformément à ; d ’ une manière correspondant à ; en proportion ; en fonction de .
selon,by,"absolument En fonction de l ’ occurrence , des différentes dispositions des personnes ,"
selon,by,"D ’ après , eu égard à"
reste,remnant,"Ce qui demeure d ’ un tout , d ’ une plus grande quantité ; ce qui subsiste d ’ une chose passée , tant au sens physique qu ’ au sens moral ."
reste,remnant,Autre partie d un tout .
reste,remnant,particulier au pluriel Ce qui ne fut pas mangé dans un repas .
reste,remnant,particulier Le solde d une transaction monétaire .
avoir,holding,Ensemble des biens et richesses appartenant à un individu
avoir,holding,Somme d ’ argent dû
valeur,value,"Qualité ou justesse d ’ une chose , d ’ une idée , d ’ un ouvrage ."
valeur,value,Noblesse de caractère d ’ une personne .
valeur,value,"Importance ou intérêt que l ’ on porte à un être , à une chose , à un phénomène ou événement ."
valeur,value,spécialement Prix .
dessus,above,"À la partie , à la face supérieure ."
environ,around,"À peu près ; un peu plus , un peu moins ."
clic,click,Bruit léger et bref évoquant par exemple le déclenchement d ’ un mécanisme .
clic,click,Action d ’ un doigt sur un bouton de souris .
clic,click,Son produit avec la langue ou les lèvres sans l ’ aide des poumons .
pire,worse,". Plus mauvais , plus défectueux , plus nuisible ."
plusieurs,several,"Nombre plus ou moins considérable , faisant partie d ’ un autre nombre plus grand ."
maintenant,now,À l ’ instant présent ou dans la période de temps actuelle plus ou moins étendue .
maintenant,now,À partir de cet instant ; désormais ; .
chacun,each,Chaque personne
sujet,subject,Personne soumise à l ’ autorité d ’ un roi
alors,then,En ce ; in illo tempore .
alors,then,Dans ce cas . — note Il exprime alors une conséquence .
alors,then,En ce
ouvert,open,Qui n ’ est pas fermé .
ouvert,open,"Qui est écarté , en parlant des membres ou d ’ un organe du corps ."
ouvert,open,Qui dénote une personne affable .
ouvert,open,"Manifeste , patent ."
beaucoup,many,De nombreuses gens
cinquième,fifth,Classe de ans
té,tee,"Lettre latine T ,"
té,tee,"Instrument ayant la forme d ’ un Il se dit spécialement , en termes de dessin , d ’ une sorte d ’ équerre formée de deux pièces de bois assemblées en"
té,tee,"Lettre latine T , t"
dessous,underwear,féminin .
donc,already,"Rend plus pressante une demande , une injonction"
donc,already,"Marque d ’ étonnement , de surprise"
donc,already,Marque de conclusion d ’ un raisonnement
donc,already,Marque l ’ induction
autrement,otherwise,D ’ une façon autre .
autrement,otherwise,"Sinon , sans quoi ."
autrement,otherwise,Beaucoup plus .
dehors,outside,À l ’ extérieur .
dehors,outside,"particulier En pleine mer , au large ."
dehors,outside,Partie extérieure d ’ une chose .
dehors,outside,"particulier au pluriel Les avenues , , parc , , qui dépendent d ’ un château , d ’ une maison ."
parmi,among,Au milieu de . — note On l ’ emploie devant un nom au pluriel ou devant un nom collectif .
parmi,among,"Dans , sur . — note Il est suivi d un nom de lieu au singulier ."
parmi,among,Entre tous ces .
parmi,among,Au milieu de .
effet,effect,Ce qui est produit par quelque cause .
effet,effect,Sorte de rotation imprimée à l ’ objet que l ’ on lance ou que l ’ on frappe afin de modifier son mouvement ultérieur .
effet,effect,Effort transmis par un mécanisme .
effet,effect,"Ce qui frappe , de ce qui attire ou captive les regards ou l ’ attention ."
autrefois,previously,Anciennement ; jadis ; au temps passé .
vé,look,"Lettre latine V ,"
vé,look,Cale en forme de
chère,cheer,"Bon accueil , réception caressante ."
chère,cheer,"Tout ce qui regarde la quantité , la qualité , la délicatesse des mets et la manière de les apprêter ."
enfin,finally,À la fin ; après un long temps ; après une longue attente .
enfin,finally,"À la fin d ’ une énumération , pour abréger , en résumé ."
enfin,finally,"Après tout , en conclusion ."
enfin,finally,Introduit une correction ou une précision de ce qui était dit précédemment .
sixième,sixth,Classe de ans
façon,style,"Action de faire ; usité en ce sens seulement avec la préposition de , dans le style familier , et signifiant « par le fait de ’ un , par son œuvre » ."
façon,style,"Manière , sorte ."
façon,style,Travail de l ’ artisan qui a fait quelque chose .
façon,style,"Manière propre d ’ un écrivain , d ’ un artiste ."
seulement,exclusively,Uniquement ; rien que ; sans ’ un ou quelque chose de plus .
seulement,exclusively,À l ’ instant .
seulement,exclusively,Du moins ; au moins .
seulement,exclusively,Toutefois ; mais .
suivre,follow,Aller ou venir après .
suivre,follow,S ’ intéresser ; porter de l attention .
suivre,follow,En parlant des choses .
suivre,follow,particulier Aller après pour atteindre et pour prendre .
laisser,let,Quitter ’ un ou quelque chose .
laisser,let,"Ne pas emmener , ne pas emporter avec soi ."
laisser,let,Oublier de prendre avec soi .
laisser,let,"Confier , mettre en dépôt ."
lors,then,Ce . S ’ emploie seulement en composition dans les locutions suivantes :
lors,then,"Quand , au moment où , utilisé dans la locution « lors que » qui a donné lorsque ."
surtout,especially,Principalement ; plus que toute autre chose .
dès,since,À partir de .
dès,since,Immédiatement .
dès,since,"À partir de , depuis ."
dès,since,Depuis ( un temps ) .
tente,tentorium,élément d anatomie
ouf,phew,verlan Fou .
tiens,hey,Marque d ’ étonnement
tiens,hey,Marque de doute
allô,hello,Ouverture de conversation téléphonique
puisque,since,"Marque une cause , un motif , une raison ."
rendre,return,"Remettre une chose entre les mains de celui à qui elle appartient , de quelque manière qu ’ on l ’ ait eue ."
rendre,return,"Faire recouvrer certaines choses dont on était privé , qu ’ on avait perdues , comme la santé , les forces du corps ,"
rendre,return,"Faire rentrer en possession d ’ une chose dont elles étaient privées , ou à laquelle elles avaient renoncé ."
rendre,return,Remettre une chose à celui à qui elle est destinée .
lorsque,when,"Quand , au moment où ."
tenir,hold,"Avoir en main , entre les bras , de manière à ne pas laisser aller ."
tenir,hold,& Diriger ; gouverner ; mener .
tenir,hold,Posséder et ne pas lâcher .
tenir,hold,"Maintenir dans les différents exercices auxquels on le soumet , en parlant du cheval ."
ohé,yoohoo,Interjection servant à appeler
euh,erm,Marque du doute
remarquable,remarkable,Qui mérite d ’ être remarqué ; qui attire l ’ attention .
nombreux,numerous,Qui est en grand nombre ; qui est formé d ’ un grand nombre d ’ éléments .
nombreux,numerous,"Qui est harmonieux , qui flatte l ’ oreille par un choix heureux et une habile disposition des mots , en parlant du style ."
différent,different,Qui n ’ est pas pareil ; qui est autre ou distinct .
plupart,most,"La plus grande partie , le plus grand usage Il est toujours précédé de l ’ article la ."
plupart,most,quelquefois absolument Le plus grand nombre des gens . — note S ’ emploie sans relation à aucun nom qui précède ; et alors il est masculin pluriel .
hormis,except,"La chose suivante n ’ étant pas concernée , pas incluse ."
hormis,except,La chose suivante n ’ étant pas concernée
plutôt,rather,De préférence .
plutôt,rather,"Environ , assez , approximativement ."
plutôt,rather,Plus exactement .
suffisant,enough,Qui suffit .
suffisant,enough,"Qui est vain , fat , présomptueux , satisfait de sa personne ."
suffisant,enough,Personne suffisante .
semblable,alike,"Qui est pareil , ressemblant , qui est de même nature , de même qualité , qui a des caractères communs , similaire ."
semblable,alike,absolument Analogue à ce qui est déjà dit ou déjà fait .
semblable,alike,"au pluriel Qualifie deux ou plusieurs figures géométriques qui ont leurs angles égaux , chacun à chacun , et dans lesquelles , en outre , les côtés qui comprennent ces angles sont proportionnels ."
fût,stock,"Bois sur lequel est monté le canon d ’ un fusil , d ’ une arquebuse , d ’ un pistolet ,"
fût,stock,Partie en bois d un objet .
fût,stock,Partie du tronc d ’ un arbre comprise entre le sol et les premiers rameaux .
fût,stock,"Tige de la colonne , partie qui est entre la base et le chapiteau ."
exactement,exactly,"D ’ une manière exacte , correctement précise ."
relativement,comparatively,D ’ une manière relative .
relativement,comparatively,En ce qui concerne . — note Il est alors suivi de la préposition à .
certes,certainly,"En vérité , sans mentir ."
certes,certainly,Il indique quelquefois une concession .
cinquantaine,fifties,terme collectif Assemblage de choses de même nature au nombre de cinquante environ .
cinquantaine,fifties,Âge de cinquante ans .
cinquantaine,fifties,dans la <concept> Âges de 50 à 59 ans .
cinquantaine,fifties,"plus rare Sorte de fête à l ’ occasion de cinquante années écoulée dans l ’ état de mariage , dans l ’ exercice d ’ une place ,"
cependant,meanwhile,"Pendant ce temps ; entretemps . — note Désigne , dans ce sens , une action parallèle ."
cependant,meanwhile,Néanmoins ; toutefois ; nonobstant cela .
cependant,meanwhile,"Néanmoins , toutefois , ..."
cependant,meanwhile,Pendant ce temps
jusque,until,Marque un certain terme duquel on ne passe pas . — note Elle est le plus souvent combinée avec la préposition à .
strictement,strictly,D ’ une manière stricte .
directement,aimed,"En ligne droite , tout droit ."
directement,aimed,"D ’ une manière directe , sans détour ."
directement,aimed,"Sans intermédiaire , sans entremise ."
néanmoins,nevertheless,"Malgré cela , en dépit de cela ."
excepté,except,"Hors , à la réserve de , à l exception de , sauf , hormis ."
premièrement,first,"En premier lieu , d abord ."
toutefois,however,Néanmoins ; cependant ; mais ; pourtant .
toutefois,however,Néanmoins ; cependant ; mais ; pourtant
deuxièmement,secondly,En second lieu .
possessif,possessive,Qui marque la possession de la chose dont on parle .
possessif,possessive,"Qui éprouve le besoin de s approprier un , de le posséder exclusivement ."
quatrièmement,fourthly,En quatrième lieu .
à,to,Introduit un complément circonstanciel de lieu .
à,to,avec déplacement vers l ’ endroit cité
à,to,Introduit un complément circonstanciel indiquant la provenance .
