la,la,syllable used in solfège to represent the sixth note of a major scale
within,dedans,Indicates figurative inclusion <concept> the scope of .
within,dedans,Before the specified duration ends .
within,dedans,before the specified duration ends
same,même,the identical thing
same,même,"something similar , something of the identical type"
effect,effectuer,to make or bring about ; to implement
him,lui,objective after preposition
him,lui,dative / indirect object
him,lui,accusative / direct object
versus,contre,"against , in opposition to ."
versus,contre,"compared with , as opposed to ."
versus,contre,"Bringing a legal action against , as used in the title of a court case in which the first party indicates the plaintiff , and the second indicates the defendant ."
versus,contre,"towards , turned to or in the direction of , facing"
opening,trou,the act or process of being opened
opening,trou,something that is open
opening,trou,first performance of a show or play by a particular troupe
opening,trou,first few moves in a game of chess
twelve,douze,A gun .
twelve,douze,cardinal number 12
eleven,onze,A cricket team of <concept> players .
eleven,onze,A football team of <concept> players .
eleven,onze,"Used instead of ! to amplify an exclamation , imitating who forget to press the shift key while typing exclamation points ."
eleven,onze,A number off the charts of a hypothetical scale of one to ten .
found,fonder,"Food and lodging , board ."
found,fonder,To begin building .
found,fonder,To start some type of organization or company .
found,fonder,"To melt , especially of metal in an industrial setting ."
among,parmi,Denotes a mingling or intermixing with distinct or separable objects .
among,parmi,Denotes a belonging of a person or a thing to a group .
among,parmi,Denotes a sharing of a common feature in a group .
among,parmi,To be made or become a collateral damage .
eh,hein,Of mediocre quality ; unremarkable .
eh,hein,"to sharpen , whet , hone metal edge tools"
eh,hein,"Austrian well , admittedly"
eh,hein,used as a tag question
problem,problème,A difficulty that has to be resolved or dealt with .
problem,problème,"A question to be answered , schoolwork exercise ."
problem,problème,A puzzling circumstance .
problem,problème,schoolwork exercise
various,divers,Having a broad range .
various,divers,an eclectic range of
nor,ni,"informal Jail , prison ; imprisonment"
nor,ni,"crazy , insane , mad"
thousand,mille,cardinal number 1000
any,aucun,"To even the slightest extent , at all ."
mean,moyenne,intermediate value
mean,moyenne,the statistical value
mean,moyenne,method by which something is done
which,quel,( interrogative ) what one or ones
which,quel,"( relative ) who , whom , what"
soon,bientôt,Short in length of time from the present .
soon,bientôt,to be yellow
soon,bientôt,within a short time
thin,mince,Having little thickness or extent from one surface to its opposite .
thin,mince,Very narrow in all diameters ; having a cross section that is small in all directions .
thin,mince,Having little body fat or flesh ; slim ; slender ; lean ; gaunt .
thin,mince,"Of low viscosity or low specific gravity , e.g. , as is water compared to honey ."
find,trouvaille,anything found
along,accompagné,"in company , together"
then,alors,At that time .
then,alors,Next in order ; in addition .
then,alors,In that case .
then,alors,At the same time ; on the other hand .
oust,expulser,To expel ; to remove .
oust,expulser,to expel ; to remove
interest,intéresser,to attract attention or concern
fifth,cinquième,The ordinal form of the number five .
fifth,cinquième,one of five equal parts of a whole
fifth,cinquième,person or thing in the <concept> position
fifth,cinquième,musical interval
inner,intérieur,"Being or occurring inside , situated farther in , located or happening on the inside of something , situated within or farther within contained within something ."
inner,intérieur,"Close to the centre , located near or closer to center ."
inner,intérieur,Inside or closer to the inside of the body .
inner,intérieur,"Of mind or spirit , relating to the mind or spirit , to spiritual or mental processes , mental , spiritual , relating to somebody s private feelings or happening in somebody s mind , existing as an often repressed part of one s psychological makeup ."
thought,idée,"Form created in the mind , rather than the forms perceived through the five senses ; an instance of thinking ."
thought,idée,The process by which such forms arise or are manipulated ; thinking .
thought,idée,A way of thinking .
thought,idée,form created in the mind
ask,demander,To request .
ask,demander,To put forward to be answered .
ask,demander,To interrogate or enquire of .
ask,demander,To request or petition ; usually with for .
beginning,début,"The act of doing that which begins anything ; commencement of an action , state , or space of time ; entrance into being or upon a course ; the first act , effort , or state of a succession of acts or states ."
beginning,début,That which is begun ; a rudiment or element .
beginning,début,That which begins or originates something ; the first cause ; origin ; source .
beginning,début,The initial portion of some extended thing .
should,devoir,Be obliged to ; have an obligation to ; indicates that the subject of the sentence has some obligation to execute the sentence predicate or that the speaker has some strong advice but has no authority to enforce it .
should,devoir,"ought to ; speaker s opinion , or advice that an action is correct , beneficial , or desirable ."
should,devoir,Will be likely to ; indicates a degree of possibility or probability that the subject of the sentence is likely to execute the sentence predicate .
should,devoir,A variant of would when used with first person subjects .
different,différent,Not the same ; exhibiting a difference .
different,différent,"Various , assorted , diverse ."
different,différent,"Distinct , separate ; used for emphasis after numbers and other determiners of quantity ."
different,différent,Unlike most others ; unusual .
buy,acheter,To obtain in exchange for money or goods
buy,acheter,To obtain by some sacrifice .
buy,acheter,To be equivalent to in value .
buy,acheter,to accept as true ; to believe
hue,teinte,Form ; appearance ; guise .
hue,teinte,"A color , or shade of color ; tint ; dye ."
hue,teinte,"The characteristic related to the light frequency that appears in the color , for instance red , yellow , green , cyan , blue or magenta ."
hue,teinte,A character ; aspect .
whole,ensemble,something complete
would,vouloir,As a past-tense form of will .
would,vouloir,"Wished , desired . 9 th -19 th c ."
would,vouloir,Wanted to . from 9 th c .
would,vouloir,Used to ; was or were habitually accustomed to ; indicating an action in the past that happened repeatedly or from 9 th c .
dare,défi,a challenge
ly,al,"of the elements calm , quiet"
ly,al,"to hear , listen"
thou,tutoyer,to address someone using the informal second-person singular pronoun
diverse,divers,Consisting of many different elements ; various .
diverse,divers,Different ; unlike ; dissimilar ; distinct ; separate .
diverse,divers,Capable of various forms ; multiform .
diverse,divers,Containing people groups that are minorities in a given area
